category,group_code,group_label,division,division_label,annual_spending_euros_2017,budget_share,division_rate,contribution_points
categorie_socioprofessionnelle,8,Autres inactifs,12,Autres biens et services,2046,0.12643678160919541,2.838363811631961,0.3588735853787537
categorie_socioprofessionnelle,TOT,Ensemble,01,Alimentation et boissons non alcoolisées,4410,0.16089605603998686,1.1523941982912733,0.18541568150842844
categorie_socioprofessionnelle,TOT,Ensemble,02,Boissons alcoolisées et tabac,788,0.028749680761793572,1.8773716796484985,0.05397383646112652
categorie_socioprofessionnelle,TOT,Ensemble,03,Habillement et chaussures,1374,0.050129519500893865,-1.479379876380582,-0.07416060236225035
categorie_socioprofessionnelle,TOT,Ensemble,04,"Logement, eau et énergie",4454,0.16250136816374183,3.576437587657799,0.5811760011466247
categorie_socioprofessionnelle,TOT,Ensemble,05,Meubles et entretien du foyer,1558,0.056842642927505564,-0.019932230416597196,-0.0011330006563194
categorie_socioprofessionnelle,TOT,Ensemble,06,Santé,505,0.01842460505673319,-0.5128720836685363,-0.009449465586216602
categorie_socioprofessionnelle,TOT,Ensemble,07,Transports,4482,0.16352293042431318,6.9813176007866184,1.1416055123034632
categorie_socioprofessionnelle,TOT,Ensemble,08,Information et communication,743,0.027107884271589625,4.937399030694678,0.1338424415267301
categorie_socioprofessionnelle,TOT,Ensemble,09,Loisirs et culture,2566,0.093618884308074,-0.4483867823374621,-0.04197747030092042
categorie_socioprofessionnelle,TOT,Ensemble,10,Enseignement,214,0.007807654420080995,4.728440919586374,0.0369180326459004
categorie_socioprofessionnelle,TOT,Ensemble,11,Restauration et hébergement,1972,0.07194717063738189,1.8669446550416913,0.13432138566683263
categorie_socioprofessionnelle,TOT,Ensemble,12,Autres biens et services,4343,0.15845160348790543,2.838363811631961,0.4497432972351274
lieu_de_residence,0,Communes rurales,01,Alimentation et boissons non alcoolisées,4634,0.17130605153229087,1.1523941982912733,0.19741209991799788
lieu_de_residence,0,Communes rurales,02,Boissons alcoolisées et tabac,847,0.031311226941702706,1.8773716796484985,0.05878281071539973
lieu_de_residence,0,Communes rurales,03,Habillement et chaussures,1289,0.04765073379912018,-1.479379876380582,-0.07049353667718644
lieu_de_residence,0,Communes rurales,04,"Logement, eau et énergie",3333,0.12321171121215482,3.576437587657799,0.44065899521878843
lieu_de_residence,0,Communes rurales,05,Meubles et entretien du foyer,1662,0.06143950316069646,-0.019932230416597196,-0.0012246263336802537
lieu_de_residence,0,Communes rurales,06,Santé,471,0.017411555949872464,-0.5128720836685363,-0.008929900979922393
lieu_de_residence,0,Communes rurales,07,Transports,5132,0.189715722154449,6.9813176007866184,1.3244657102227988
lieu_de_residence,0,Communes rurales,08,Information et communication,764,0.028242948504676353,4.937399030694678,0.13944670657094874
lieu_de_residence,0,Communes rurales,09,Loisirs et culture,2519,0.09312040220324572,-0.4483867823374621,-0.041753957513883666
lieu_de_residence,0,Communes rurales,10,Enseignement,132,0.004879671731174449,4.728440919586374,0.023073239487834143
lieu_de_residence,0,Communes rurales,11,Restauration et hébergement,1690,0.0624745850430668,1.8669446550416913,0.11663659262210115
lieu_de_residence,0,Communes rurales,12,Autres biens et services,4578,0.1692358877675502,2.838363811631961,0.48035301946882253
lieu_de_residence,1,Petites villes (< 20 000 hab.),01,Alimentation et boissons non alcoolisées,4453,0.16751937401248965,1.1523941982912733,0.19304835471337897
lieu_de_residence,1,Petites villes (< 20 000 hab.),02,Boissons alcoolisées et tabac,763,0.028703634038070875,1.8773716796484985,0.053887389646068935
lieu_de_residence,1,Petites villes (< 20 000 hab.),03,Habillement et chaussures,1311,0.049319088104732525,-1.479379876380582,-0.07296166646358224
lieu_de_residence,1,Petites villes (< 20 000 hab.),04,"Logement, eau et énergie",3870,0.14558723948536603,3.576437587657799,0.5206836755788008
